Module Marks Summer 2013. ,,,,,
Undergraduate Degree Students,,,,,
Some qualifications are excluded (THEO COMDEG LOCDEG COMMST DEFT & DISDEG),,,,,
"Includes block codes 1,51,5S,R2 and 2 but excludes RB (year long)",,,,,
,,,,,
,,,,,
Qual Code,Qual Description,Year,Module,Mark,Grade
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN152A,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN152A,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN152B,48,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN153,28,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN153,53,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN153,53,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN153,63,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN153,63,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN153,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN154,33,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN154,43,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN154,48,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN154,50,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN154,53,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,EN154,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,FR101,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,FR102,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,FR103,50,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,FR121,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,FR122,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,FR123,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GC103,31,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GC105,47,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GC106,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GC107,,ABSENT
